Estado,Inseguridad 2011,Exportaciones 2009,PIB 2009,Tasa Matriculacion Medio Superior 2011,Prevalencia delictiva 2010,Servicios personales,Materiales y suministros,Servicios generales
Aguascalientes,60.8,3951109,1.05,51.2,36285,870915314,90991191,443185378
Baja California,58.2,26741828,2.99,50.6,30943,7991726475,513070114,725824624
Baja California Sur,37.1,165276,0.79,58.4,23280,593196473,78574100,162827977
Campeche,51.2,17593024,5.72,49.2,17260,3821612000,255042000,651169000
Chiapas,38.3,855360,1.88,49.8,12814,7994800655,607536745,1944911206
Chihuahua,89.5,24772115,2.94,54.8,35828,6105065347,347546402,1249333146
Ciudad de México,75.3,2378039,17.31,48.5,32340,,,
Coahuila,64.6,13904921,3.09,50.9,25203,11399604959,188812071,1347861997
Colima,65.8,81343,0.56,68.8,17224,1027508666,101372233,166284358
Durango,88.1,829445,1.19,53.1,20418,2519331257,158891686,299662821
Guanajuato,54,5684014,1.47,41.4,20216,3756901690,244095040,522727210
Guerrero,72.5,464864,1.43,56,20225,950337052,73576084,294595443
Hidalgo,55.3,1269506,6.38,44,24454,21416877802,592926784,1414983437
Jalisco,71.2,15059587,8.34,45.9,27957,29585899300,669735000,2359979600
México,83.9,7648352,3.53,43.7,21100,15641410063,362769612,1696362762
Michoacán,76.1,805947,2.32,39.5,15106,19399427565,610127723,1375378234
Morelos,80.8,1562214,1.23,55,21898,1013579965,148083961,141404073
Nayarit,79.3,57563,0.68,54.4,23106,1538833876,121577855,378955849
Nuevo León,84.6,17327009,6.98,44.1,27962,9121509080,241703855,1460498687
Oaxaca,73.3,1044383,1.64,45.1,16189,3460421000,299235000,1705311000
Puebla,64,6675263,3.17,52.4,21441,18138535100,692462700,2367977700
Querétaro,30.2,3471124,1.98,49.8,19062,1771804074,123668224,363522519
Quintana Roo,63.9,35712,1.36,46.3,28419,1948832245,213863405,907778315
San Luis Potosí,76.3,3559105,1.87,50.6,22503,3857293632,109837335,386582251
Sinaloa,80.8,208157,2.22,62.3,26056,3646896451,112838819,732007621
Sonora,46,9380256,3.01,57.6,29008,5593282785,346728519,860442926
Tabasco,77.7,6968591,3.63,60.3,24480,12339680132,603951122,1159532971
Tamaulipas,83.4,18320316,3.22,53,22661,3992957696,107729887,922493882
Tlaxcala,41.6,645311,0.6,57.8,20874,1549443171,129603842,188609325
Veracruz,64.8,4106797,5.05,51.7,16900,30273022100,942202569,2897360497
Yucatán,26.6,1033444,1.39,48.7,17715,6761543712,423658498,1246402707
Zacatecas,83.1,1634147,0.96,49.3,22247,6835846075,163128719,453840088
