Estado,Percepcion inseguridad 2017,Exportaciones 2015,PIB 2015,Tasa de matriculacion Media Superior 2015,Prevalecia delictiva 2015,Servicios personales,Materiales y suministros,Servicios generales
Aguascalientes,44.8,8495444,1.2,59.2,33376,1278406801,167258268,438124759
Baja California,43.3,38441997,3.08,65.3,37583,12476711981,584387853,1114912582
Baja California Sur,37,199663,0.79,67.5,30310,889386233,118423082,282387931
Campeche,44.1,11288367,3.85,57.4,22639,5482535112,495331180,1693566455
Chiapas,35.5,1165750,1.74,57.6,15352,11457434517,2536573652,4005825521
Chihuahua,32.3,40302946,3.08,55.3,22395,8862967273,1274784934,2922788675
Ciudad de México,63.3,2452303,17.31,57.6,36019,,,
Coahuila,27.9,36251769,3.4,60.6,17080,15078469319,552912361,2465205734
Colima,45.1,288409,0.58,83.9,21562,2152925121,200977083,545982221
Durango,30.9,1752492,1.16,67.2,22949,11309388064,481678552,787645675
Guanajuato,50.9,20787832,1.38,53.2,27721,5488131381,657812603,1281584648
Guerrero,36.2,334522,1.56,66.5,18420,2119106477,380024153,1444131643
Hidalgo,42.8,1726505,6.66,52.2,31375,32970919685,977479823,2188790163
Jalisco,42.2,19737684,8.72,57,45139,49220803000,1196047000,5607377000
México,63.7,21392725,3.94,54.7,31659,23973121515,659387799,2896763373
Michoacán,33.8,822901,2.33,50.7,21311,27622417430,888041102,3090227258
Morelos,53.6,3402758,1.13,64.8,29647,1751763738,486783011,1411242667
Nayarit,24.8,101254,0.69,61.6,22052,3249608919,247037631,499582729
Nuevo León,40.1,34522156,7.41,53.6,24250,15650962994,548683020,3782118991
Oaxaca,34.7,737200,1.57,53.2,20061,4913094177,578927082,3148935093
Puebla,48.5,10141643,3.26,64.1,23741,28162450337,828634336,3315078128
Querétaro,45.2,10400467,2.19,60.1,25660,2379031350,224072588,702103708
Quintana Roo,43.9,31075,1.47,57.4,28638,2015185240,312459990,2197212134
San Luis Potosí,39.2,9806397,1.99,59,25873,6485847490,198434822,435563539
Sinaloa,31.9,1245917,2.16,68.9,22063,4794473889,357938313,1597253031
Sonora,44.3,16895882,3.31,63.8,24246,7563738946,807534865,1474238923
Tabasco,64.4,6603629,3.39,68.1,24759,15290587681,740207504,1564477222
Tamaulipas,38.5,26300102,2.97,61.8,23339,19218122890,882255048,4312438862
Tlaxcala,44.9,1307251,0.58,61.6,26012,1970512779,155114189,269366324
Veracruz,44.7,5437057,4.74,59,17208,46350649711,994212573,2107755176
Yucatán,30.5,1470940,1.39,57.8,22860,9751505181,791074864,2061478907
Zacatecas,39.6,3325166,0.96,61,22924,10146481841,688685435,959959325
