"ESTADO","PAN","PRI","PRD","PVEM","PT","MC","PANAL","PRI_PVEM","PRD_PT_MC","PRD_PT","PRD_MC","PT_MC","No_registrado"
"1",288249,233956,341683,248104,134522,119057,85623,163104,131889,40380,11912,6567,6364
"2",1159024,1055330,1101549,685838,364167,357260,292338,503267,354956,180501,55447,21157,14845
"3",204543,176696,200227,115054,78088,66456,60269,110165,77327,36619,9039,4245,2638
"4",207830,162003,240052,110148,87851,67699,60735,127375,92280,39127,14757,7686,2616
"5",524590,496528,802641,479580,308383,242917,219304,364769,287864,100641,22544,12894,10775
"6",117499,99217,225018,120504,73032,69252,62026,99367,80007,30410,7866,4657,3683
"7",1397574,1288310,1215737,929162,468946,387369,340639,695154,546185,251153,60372,23849,16892
"8",1270512,932975,1067787,738103,405641,330562,284909,528130,401909,133898,34519,17569,15374
"9",3480918,3852697,1305107,1879084,919461,1133070,1013197,1602100,1815723,625977,306541,118513,47587
"10",474567,330081,428904,270963,175206,123677,128099,257139,163680,79491,11899,10832,6705
"11",880767,1103355,1333239,1098803,506694,350172,447936,821308,674693,102972,32052,19672,20147
"12",1049276,1012938,871343,648650,363021,269163,249745,512273,442661,200128,90779,20959,13717
"13",972815,439648,751360,539637,298536,264783,204645,447332,358191,171447,46000,15572,11450
"14",1429494,1164352,2005959,1514293,814697,720271,551242,1205319,782987,168051,183414,96008,31335
"15",4989655,2143885,3716504,2907606,1645755,1449938,1160695,2683222,1938531,893631,303442,94160,64210
"16",1545554,1104721,1437398,916846,468728,358393,362362,711319,513862,254918,58782,19041,17131
"17",707291,493442,402940,396091,208765,203303,167326,292211,268007,130404,50538,14824,7180
"18",428699,222745,368773,218260,122605,109196,90136,184846,143441,66650,18039,8199,4328
"19",932423,1236726,1398968,730007,418417,397398,375273,575382,475727,195785,31866,24223,17324
"20",1258252,1021467,852251,720601,419012,354842,266365,538222,505343,225335,71055,21373,15508
"21",1460182,1640897,1739830,1079806,533708,547964,445934,999390,814595,358997,108945,57995,19265
"22",316148,347843,542005,331475,193921,181365,146075,256334,194238,61069,18140,7922,8318
"23",442408,408111,354810,267765,159167,137449,118621,201368,177279,86783,26953,7756,5834
"24",641606,733712,800986,543530,301857,260559,187601,420571,295247,116640,39852,19633,12100
"25",1197412,902142,1004096,547865,320718,259342,280848,502724,378377,113721,34305,14529,14143
"26",615039,533196,777365,315453,277431,221516,219066,363233,288821,105526,33032,13046,9110
"27",483889,481620,298223,267888,250221,195767,106992,296390,335284,108904,64662,9978,6750
"28",544086,965180,1017078,544514,359405,300219,295861,411001,361026,120395,30148,14743,13470
"29",438940,301740,313550,236996,114169,118797,91538,203188,177849,79686,29047,10111,4415
"30",1740465,2189668,2177978,1454565,901870,711063,662711,1135258,981328,427365,124432,37403,26492
"31",266226,258152,576145,291620,203055,166531,145658,292919,210258,64431,18070,7675,6764
"32",666305,435181,555126,367851,207861,113833,139535,350089,220959,96299,14930,9337,6611
