"Estado","PRI","PAN","PRD","PVEM","PANAL","MC","PT","MORENA","PES","PAN_PRD_MC","PAN_PRD","PAN_MC","PRD_MC","PRI_PVEM_PANAL","PRI_PVEM","PRI_PANAL","PVEM_PANAL","PT_MORENA_PES","PT_MORENA","PT_PES","MORENA_PES","INDEP_1","INDEP_2","No_registrado"
"AGUASCALIENTES",397061,381994,169058,190031,177681,113043,139564,430058,165129,70292,19248,15081,10550,30511,16964,15387,30511,189219,43744,14003,34330,21009,118261,28118
"BAJA CALIFORNIA",542328,1080286,387553,302772,232448,269348,341917,481050,429371,145729,44255,38478,27087,73293,45906,38351,73293,493763,172330,37462,126989,48531,272474,74564
"BAJA CALIFORNIA SUR",119389,236639,46513,77139,44602,38630,84048,103809,79148,28678,9615,8795,6070,17608,9698,8785,17608,100445,36692,8679,34931,11270,54219,18914
"CAMPECHE",188212,196711,89055,66517,76769,53389,88865,122767,84059,21621,10771,10055,6618,44851,18929,9932,44851,92591,37528,9273,26408,11352,52991,20571
"CHIAPAS",865327,917495,538148,672183,538542,418469,561320,974913,413301,140538,68102,59254,43177,110157,83618,62680,110157,477031,223175,60713,196338,78669,350388,123522
"CHIHUAHUA",800359,1023732,355643,421403,380696,302170,411374,1156721,403246,179020,75107,69176,48319,115508,75552,68993,115508,482635,146576,64436,123527,84246,326032,127090
"CIUDAD DE MÉXICO",2910914,3467882,1674112,1242207,891554,906663,1149780,1753400,1312821,897088,173181,87825,61476,335208,123544,80644,335208,1117681,584856,86648,398405,111696,782563,152961
"COAHUILA",799730,1069669,332362,351660,325773,225549,344726,625803,385450,137088,58526,53650,37370,103903,74270,53447,103903,431636,115661,49096,96222,62599,271224,106112
"COLIMA",227422,273456,93517,85923,100824,94156,96066,124605,98469,23469,8213,5073,3239,16882,21843,4256,16882,115678,39125,5676,21864,6711,63805,10222
"DURANGO",465944,580352,170879,190261,144994,151129,230371,489965,200719,90875,34777,28240,18710,48384,32478,27566,48384,236122,93325,25764,56188,31623,148980,50949
"GUANAJUATO",1458810,1575513,742761,991939,654520,549095,732726,2455035,620001,350101,99415,86851,57853,149059,100857,81820,149059,734932,184853,78360,139388,104918,595986,152414
"GUERRERO",936195,948364,596581,450695,324770,364233,479242,908701,415902,125452,60497,51261,38332,109343,97786,54201,109343,461310,199942,52298,148685,61455,283811,107744
"HIDALGO",863474,920838,454572,317076,480549,276245,358957,616864,369057,123215,40350,32165,23701,92108,46124,35047,92108,410775,139454,32501,121427,43499,250351,69176
"JALISCO",1930400,2412312,843141,1040682,821791,837810,822746,1640903,922141,465627,118732,169448,75219,188724,121582,107589,188724,1065378,273004,101437,216412,138571,686865,205310
"MÉXICO",4426690,5117151,2372544,2046983,1858810,1338218,1563934,2476763,1877017,881874,208069,149165,104424,440835,262206,147372,440835,1774777,682303,144683,547075,192938,1187073,281081
